[2026-03-16 12:28:10]  [135/3574] [성공] Rockburn Fumé Blanc 2024... | 분포:False
[2026-03-16 12:28:10]  [138/3574] [성공] Pierre-Yves Colin-Morey S... | 분포:True
[2026-03-16 12:28:10]  [134/3574] [성공] Moët & Chandon Nectar Imp... | 분포:True
[2026-03-16 12:28:11]  [139/3574] [성공] Argiano Brunello di Monta... | 분포:True
[2026-03-16 12:28:11]  [137/3574] [성공] La Taille Aux Loups Montl... | 분포:True
[2026-03-16 12:28:11]  [142/3574] [성공] F.X. Pichler Unendlich Gr... | 분포:True
[2026-03-16 12:28:11]  [144/3574] [성공] Perez Cruz Carmenère Limi... | 분포:True
[2026-03-16 12:28:11]  [143/3574] [성공] Cloudy Bay Pinot Noir 202... | 분포:True
[2026-03-16 12:28:12]  [149/3574] [성공] Santa Carolina Luis Perei... | 분포:True
[2026-03-16 12:28:12]  [141/3574] [성공] Domaine du Moulin-à-Vent ... | 분포:True
[2026-03-16 12:28:12]  [140/3574] [성공] Invivo Sauvignon Blanc 20... | 분포:True
[2026-03-16 12:28:12]  [145/3574] [성공] Cousiño-Macul Antiguas Re... | 분포:True
[2026-03-16 12:28:13]  [150/3574] [성공] Undurraga Aliwen Reserva ... | 분포:True
[2026-03-16 12:28:13]  [146/3574] [성공] Tardieu-Laurent Bandol 20... | 분포:True
[2026-03-16 12:28:13]  [148/3574] [성공] Casa Silva Cool Coast Sau... | 분포:True
[2026-03-16 12:28:13]  [147/3574] [성공] Michel Fonné Pinot Noir M... | 분포:True
[2026-03-16 12:28:14] --- 중간 저장: 누적 150건 ---
[2026-03-16 12:28:26]  [152/3574] [성공] Nomad at Hinterbrook Cabe... | 분포:True
[2026-03-16 12:28:26]  [156/3574] [성공] Domaine de la Fertine Côt... | 분포:True
[2026-03-16 12:28:26]  [159/3574] [성공] Dourthe Freres Numero 1 B... | 분포:False
[2026-03-16 12:28:26]  [162/3574] [성공] Paritua Red 2021... | 분포:True
[2026-03-16 12:28:26]  [161/3574] [성공] Piccini Memoro Rosso... | 분포:True
[2026-03-16 12:28:27]  [158/3574] [성공] Cloudy Bay Sauvignon Blan... | 분포:True
[2026-03-16 12:28:27]  [160/3574] [성공] Louis Roederer Rosé Brut ... | 분포:True
[2026-03-16 12:28:27]  [154/3574] [성공] Casablanca El Bosque Wine... | 분포:True
[2026-03-16 12:28:27]  [153/3574] [성공] Lapostolle Cuvée Alexandr... | 분포:True
[2026-03-16 12:28:27]  [151/3574] [성공] Hans Herzog - Hans Family... | 분포:True
[2026-03-16 12:28:27]  [157/3574] [성공] Norman Hardie Pinot Noir ... | 분포:True
[2026-03-16 12:28:27]  [155/3574] [성공] Cantina Bozen / Kellerei ... | 분포:True
[2026-03-16 12:28:29]  [165/3574] [성공] Domain Road Vineyard Pino... | 분포:True
[2026-03-16 12:28:29]  [163/3574] [성공] Casablanca El Bosque Wine... | 분포:True
[2026-03-16 12:28:29]  [164/3574] [성공] Delicato Cabernet Sauvign... | 분포:False
[2026-03-16 12:28:29]  [166/3574] [성공] Santalba Viña Hermosa Sel... | 분포:True
[2026-03-16 12:28:30]  [167/3574] [성공] Tenuta Marcianella Clusiu... | 분포:False
[2026-03-16 12:28:30]  [171/3574] [성공] Robert-Denogent La Croix ... | 분포:True
[2026-03-16 12:28:30]  [174/3574] [성공] Michel Sarrazin Rully 'Sa... | 분포:False
[2026-03-16 12:28:30]  [169/3574] [성공] Peregrine Pinot Noir 2023... | 분포:True
[2026-03-16 12:28:30]  [172/3574] [성공] Moric Blaufränkisch 2023... | 분포:True
[2026-03-16 12:28:30]  [173/3574] [성공] Ornellaia Le Volte 2021... | 분포:True
[2026-03-16 12:28:31]  [168/3574] [성공] Vista Alegre Fine Tawny P... | 분포:True
[2026-03-16 12:28:31]  [170/3574] [성공] TerraMater Altum Cabernet... | 분포:True
[2026-03-16 12:28:32]  [175/3574] [성공] Conterno Fantino Barolo S... | 분포:True
[2026-03-16 12:28:32]  [177/3574] [성공] Zehnthof Luckert Sulzfeld... | 분포:True
[2026-03-16 12:28:32]  [178/3574] [성공] Jean Foillard Morgon Côte... | 분포:True
[2026-03-16 12:28:32]  [176/3574] [성공] Wente Family Vineyards Ri... | 분포:True
[2026-03-16 12:28:33]  [179/3574] [성공] Castell del Remei ODA Neg... | 분포:True
[2026-03-16 12:28:34]  [180/3574] [성공] Château Lamartine Cahors ... | 분포:True
[2026-03-16 12:28:34] --- 중간 저장: 누적 180건 ---
[2026-03-16 12:28:44]  [181/3574] [성공] Franz Hirtzberger Ried Se... | 분포:True
[2026-03-16 12:28:44]  [182/3574] [성공] Vieux Château Perey Saint... | 분포:True
[2026-03-16 12:28:45]  [183/3574] [성공] Tenuta Regaleali Cavallo ... | 분포:True
[2026-03-16 12:28:45]  [186/3574] [성공] Jean Loron Bourgogne Pino... | 분포:True
[2026-03-16 12:28:45]  [187/3574] [성공] Cave Spring Estate Chardo... | 분포:True
[2026-03-16 12:28:45]  [192/3574] [성공] Domaine des Beaumont Char... | 분포:True
[2026-03-16 12:28:45]  [184/3574] [성공] Konyári Merlot 2013... | 분포:False
[2026-03-16 12:28:45]  [193/3574] [!] 데이터 없음: https://www.vivino.com/en/aromo-muscat-of-alexandria-late-harvest-artemisa/w/1617430?year=2009&price_id=13579487
[2026-03-16 12:28:45]  [194/3574] [!] 데이터 없음: https://www.vivino.com/en/kalleske-greenock-shiraz/w/16372?year=2013&price_id=21687586
[2026-03-16 12:28:46]  [191/3574] [성공] Banfi Brunello di Montalc... | 분포:True
[2026-03-16 12:28:46]  [188/3574] [성공] Planeta Chardonnay 2022... | 분포:True
